movieRow,movieId,title
0,1,Toy Story (1995)
1,2,Jumanji (1995)
2,3,Grumpier Old Men (1995)
3,4,Waiting to Exhale (1995)
4,5,Father of the Bride Part II (1995)
5,6,Heat (1995)
6,7,Sabrina (1995)
7,8,Tom and Huck (1995)
8,9,Sudden Death (1995)
9,10,GoldenEye (1995)
10,11,"American President, The (1995)"
11,12,Dracula: Dead and Loving It (1995)
12,13,Balto (1995)
13,14,Nixon (1995)
14,15,Cutthroat Island (1995)
15,16,Casino (1995)
16,17,Sense and Sensibility (1995)
17,18,Four Rooms (1995)
18,19,Ace Ventura: When Nature Calls (1995)
19,20,Money Train (1995)
20,21,Get Shorty (1995)
21,22,Copycat (1995)
22,23,Assassins (1995)
23,24,Powder (1995)
24,25,Leaving Las Vegas (1995)
25,26,Othello (1995)
26,27,Now and Then (1995)
27,28,Persuasion (1995)
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,31,Dangerous Minds (1995)
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,34,Babe (1995)
33,35,Carrington (1995)
34,36,Dead Man Walking (1995)
35,37,Across the Sea of Time (1995)
36,38,It Takes Two (1995)
37,39,Clueless (1995)
38,40,"Cry, the Beloved Country (1995)"
39,41,Richard III (1995)
40,42,Dead Presidents (1995)
41,43,Restoration (1995)
42,44,Mortal Kombat (1995)
43,45,To Die For (1995)
44,46,How to Make an American Quilt (1995)
45,47,Seven (a.k.a. Se7en) (1995)
46,48,Pocahontas (1995)
47,49,When Night Is Falling (1995)
48,50,"Usual Suspects, The (1995)"
49,52,Mighty Aphrodite (1995)
50,53,Lamerica (1994)
51,54,"Big Green, The (1995)"
52,55,Georgia (1995)
53,57,Home for the Holidays (1995)
54,58,"Postman, The (Postino, Il) (1994)"
55,59,"Confessional, The (Confessionnal, Le) (1995)"
56,60,"Indian in the Cupboard, The (1995)"
57,61,Eye for an Eye (1996)
58,62,Mr. Holland's Opus (1995)
59,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
60,64,Two if by Sea (1996)
61,65,Bio-Dome (1996)
62,66,Lawnmower Man 2: Beyond Cyberspace (1996)
63,68,French Twist (Gazon maudit) (1995)
64,69,Friday (1995)
65,70,From Dusk Till Dawn (1996)
66,71,Fair Game (1995)
67,72,Kicking and Screaming (1995)
68,73,"Misérables, Les (1995)"
69,74,Bed of Roses (1996)
70,76,Screamers (1995)
71,77,Nico Icon (1995)
72,78,"Crossing Guard, The (1995)"
73,79,"Juror, The (1996)"
74,80,"White Balloon, The (Badkonake sefid) (1995)"
75,81,Things to Do in Denver When You're Dead (1995)
76,82,Antonia's Line (Antonia) (1995)
77,83,Once Upon a Time... When We Were Colored (1995)
78,84,Last Summer in the Hamptons (1995)
79,85,Angels and Insects (1995)
80,86,White Squall (1996)
81,87,Dunston Checks In (1996)
82,88,Black Sheep (1996)
83,89,Nick of Time (1995)
84,92,Mary Reilly (1996)
85,93,Vampire in Brooklyn (1995)
86,94,Beautiful Girls (1996)
87,95,Broken Arrow (1996)
88,96,In the Bleak Midwinter (1995)
89,97,"Hate (Haine, La) (1995)"
90,98,Shopping (1994)
91,99,Heidi Fleiss: Hollywood Madam (1995)
92,100,City Hall (1996)
93,101,Bottle Rocket (1996)
94,102,Mr. Wrong (1996)
95,103,Unforgettable (1996)
96,104,Happy Gilmore (1996)
97,105,"Bridges of Madison County, The (1995)"
98,107,Muppet Treasure Island (1996)
99,108,Catwalk (1996)
100,110,Braveheart (1995)
101,111,Taxi Driver (1976)
102,112,Rumble in the Bronx (Hont faan kui) (1995)
103,113,Before and After (1996)
104,114,Margaret's Museum (1995)
105,116,Anne Frank Remembered (1995)
106,117,"Young Poisoner's Handbook, The (1995)"
107,118,If Lucy Fell (1996)
108,119,"Steal Big, Steal Little (1995)"
109,121,"Boys of St. Vincent, The (1992)"
110,122,Boomerang (1992)
111,123,Chungking Express (Chung Hing sam lam) (1994)
112,124,"Star Maker, The (Uomo delle stelle, L') (1995)"
113,125,Flirting With Disaster (1996)
114,126,"NeverEnding Story III, The (1994)"
115,129,Pie in the Sky (1996)
116,130,Angela (1995)
117,131,Frankie Starlight (1995)
118,132,Jade (1995)
119,135,Down Periscope (1996)
120,137,Man of the Year (1995)
121,140,Up Close and Personal (1996)
122,141,"Birdcage, The (1996)"
123,144,"Brothers McMullen, The (1995)"
124,145,Bad Boys (1995)
125,146,"Amazing Panda Adventure, The (1995)"
126,147,"Basketball Diaries, The (1995)"
127,148,"Awfully Big Adventure, An (1995)"
128,149,Amateur (1994)
129,150,Apollo 13 (1995)
130,151,Rob Roy (1995)
131,152,"Addiction, The (1995)"
132,153,Batman Forever (1995)
133,154,Beauty of the Day (Belle de jour) (1967)
134,155,Beyond Rangoon (1995)
135,156,Blue in the Face (1995)
136,157,Canadian Bacon (1995)
137,158,Casper (1995)
138,159,Clockers (1995)
139,160,Congo (1995)
140,161,Crimson Tide (1995)
141,162,Crumb (1994)
142,163,Desperado (1995)
143,164,Devil in a Blue Dress (1995)
144,165,Die Hard: With a Vengeance (1995)
145,166,"Doom Generation, The (1995)"
146,167,Feast of July (1995)
147,168,First Knight (1995)
148,169,Free Willy 2: The Adventure Home (1995)
149,170,Hackers (1995)
150,171,Jeffrey (1995)
151,172,Johnny Mnemonic (1995)
152,173,Judge Dredd (1995)
153,174,Jury Duty (1995)
154,175,Kids (1995)
155,176,Living in Oblivion (1995)
156,177,Lord of Illusions (1995)
157,178,Love & Human Remains (1993)
158,179,Mad Love (1995)
159,180,Mallrats (1995)
160,181,Mighty Morphin Power Rangers: The Movie (1995)
161,183,Mute Witness (1994)
162,184,Nadja (1994)
163,185,"Net, The (1995)"
164,186,Nine Months (1995)
165,187,Party Girl (1995)
166,188,"Prophecy, The (1995)"
167,189,Reckless (1995)
168,190,Safe (1995)
169,191,"Scarlet Letter, The (1995)"
170,193,Showgirls (1995)
171,194,Smoke (1995)
172,195,Something to Talk About (1995)
173,196,Species (1995)
174,198,Strange Days (1995)
175,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
176,200,"Tie That Binds, The (1995)"
177,201,Three Wishes (1995)
178,202,Total Eclipse (1995)
179,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
180,204,Under Siege 2: Dark Territory (1995)
181,205,Unstrung Heroes (1995)
182,206,Unzipped (1995)
183,207,"Walk in the Clouds, A (1995)"
184,208,Waterworld (1995)
185,209,White Man's Burden (1995)
186,211,"Browning Version, The (1994)"
187,213,Burnt by the Sun (Utomlyonnye solntsem) (1994)
188,214,Before the Rain (Pred dozhdot) (1994)
189,215,Before Sunrise (1995)
190,216,Billy Madison (1995)
191,217,"Babysitter, The (1995)"
192,218,Boys on the Side (1995)
193,219,"Cure, The (1995)"
194,220,Castle Freak (1995)
195,222,Circle of Friends (1995)
196,223,Clerks (1994)
197,224,Don Juan DeMarco (1995)
198,225,Disclosure (1994)
199,227,Drop Zone (1994)
200,228,Destiny Turns on the Radio (1995)
201,229,Death and the Maiden (1994)
202,230,Dolores Claiborne (1995)
203,231,Dumb & Dumber (Dumb and Dumber) (1994)
204,232,Eat Drink Man Woman (Yin shi nan nu) (1994)
205,233,Exotica (1994)
206,234,Exit to Eden (1994)
207,235,Ed Wood (1994)
208,236,French Kiss (1995)
209,237,Forget Paris (1995)
210,238,Far From Home: The Adventures of Yellow Dog (1995)
211,239,"Goofy Movie, A (1995)"
212,240,Hideaway (1995)
213,241,Fluke (1995)
214,242,Farinelli: il castrato (1994)
215,243,Gordy (1995)
216,244,Gumby: The Movie (1995)
217,245,The Glass Shield (1994)
218,246,Hoop Dreams (1994)
219,247,Heavenly Creatures (1994)
220,248,Houseguest (1994)
